time,consumption_kw
2019-10-12 22:10:00,0.80029296
2019-10-12 23:10:00,0.46972656
2019-10-13 00:10:00,0.5498047
2019-10-13 01:10:00,0.47070312
2019-10-13 02:10:00,0.65917968
2019-10-13 03:10:00,0.54003906
2019-10-13 04:10:00,0.5703125
2019-10-13 05:10:00,0.80957032
2019-10-13 06:10:00,0.68066406
2019-10-13 07:10:00,0.60986328
2019-10-13 08:10:00,0.45996094
2019-10-13 09:10:00,0.52978516
2019-10-13 10:10:00,0.55029296
2019-10-13 11:10:00,0.97998048
2019-10-13 12:10:00,0.5
2019-10-13 13:10:00,0.53027344
2019-10-13 14:10:00,0.6796875
2019-10-13 15:10:00,0.54980468
2019-10-13 16:10:00,0.61035156
2019-10-13 17:10:00,0.64990234
2019-10-13 18:10:00,0.93017578
2019-10-13 19:10:00,1.5498047
2019-10-13 20:10:00,0.91992188
2019-10-13 21:10:00,1.89990234
2019-10-13 22:10:00,0.63037108
2019-10-13 23:10:00,0.58007814
2019-10-14 00:10:00,0.61914062
2019-10-14 01:10:00,0.43066406
2019-10-14 02:10:00,0.41015626
2019-10-14 03:10:00,0.3095703
2019-10-14 04:10:00,0.49023438
2019-10-14 05:10:00,0.39941406
2019-10-14 06:10:00,0.48046876
2019-10-14 07:10:00,0.4501953
2019-10-14 08:10:00,0.46972656
2019-10-14 09:10:00,0.62988282
2019-10-14 10:10:00,0.54980468
2019-10-14 11:10:00,0.41992188
2019-10-14 12:10:00,0.61035156
2019-10-14 13:10:00,0.46972656
2019-10-14 14:10:00,0.48046876
2019-10-14 15:10:00,0.41992188
2019-10-14 16:10:00,0.87011718
2019-10-14 17:10:00,0.88964844
2019-10-14 18:10:00,0.8203125
2019-10-14 19:10:00,0.72998046
2019-10-14 20:10:00,0.55029298
2019-10-14 21:10:00,0.19921874
2019-10-14 22:10:00,0.2607422
2019-10-14 23:10:00,0.3696289
2019-10-15 00:10:00,0.1899414
2019-10-15 01:10:00,0.27001954
2019-10-15 02:10:00,0.25048828
2019-10-15 03:10:00,0.33984374
2019-10-15 04:10:00,0.30957032
2019-10-15 05:10:00,0.4399414
2019-10-15 06:10:00,1.17041016
2019-10-15 07:10:00,0.29003906
2019-10-15 08:10:00,0.26953126
2019-10-15 09:10:00,0.24023436
2019-10-15 10:10:00,0.36035158
2019-10-15 11:10:00,0.1796875
2019-10-15 12:10:00,0.25976562
2019-10-15 13:10:00,0.25
2019-10-15 14:10:00,0.45996094
2019-10-15 15:10:00,0.4501953
2019-10-15 16:10:00,0.74023438
2019-10-15 17:10:00,1.37988282
2019-10-15 18:10:00,1.04003906
2019-10-15 19:10:00,1.31005858
